AN90001c01a_T5bSS_1	GCF0000335
CA63001c01a_T5bSS_4	GCF0000336
CYTC006c01a_T5bSS_4	GCF0000337
STCY001c01a_T5bSS_4	GCF0000338
RI71001c01a_T1SS_3	GCF0000339
CYST001c01a_T5bSS_2	GCF0000340
RI71001c01a_T5bSS_7	GCF0000341
TRER001c01a_T5bSS_2	GCF0000342
SYPP002c01a_T5cSS_1	GCF0000343
NOPU001c01a_T5bSS_3	GCF0000344
CYST001c01a_T5bSS_1	GCF0000345
NO75001c01a_T5bSS_1	GCF0000346
CA75001c01a_T5bSS_1	GCF0000347
RI71001c01a_T5bSS_6	GCF0000348
ANCY001c01a_T5bSS_2	GCF0000349
NOPC001c01a_T5bSS_3	GCF0000350
MI71001c01a_T5bSS_1	GCF0000351
CA63001c01a_T5bSS_1	GCF0000352
NOPC001c01a_T5bSS_1	GCF0000353
MI71001c01a_T5bSS_4	GCF0000354
NOSP001c01a_T5bSS_1	GCF0000355
SYEL002c01a_T1SS_1	GCF0000356
STMO001c01a_T5cSS_19	GCF0000357
STMO001c01a_T5cSS_3	GCF0000358
STMO001c01a_T5cSS_16	GCF0000359
STMO001c01a_T5cSS_21	GCF0000360
COAK001c01a_T5aSS_1	GCF0000361
ANVA001c01a_T1SS_2	GCF0000362
NOPU001c01a_T1SS_3	GCF0000363
MI71001c01a_T5bSS_2	GCF0000364
SY63001c01a_T1SS_2	GCF0000365
STCY001c01a_T5bSS_3	GCF0000366
CHMI001c01a_T1SS_2	GCF0000367
NOSP001c01a_T1SS_5	GCF0000368
CHMI001c01a_T1SS_3	GCF0000369
CYAP001c01a_T1SS_1	GCF0000370
HAPC001c01a_T1SS_1	GCF0000371
NO75001c01a_T1SS_6	GCF0000372
CYST001c01a_T1SS_3	GCF0000373
PS73001c01a_T5bSS_1	GCF0000374
CYTC004p03a_T4SS_typeC_1	GCF0000375
BATR001c01a_pT4SSt_2	GCF0000376
RAY9001c01a_T5aSS_6	GCF0000377
ANDE002c01a_T4SS_typeT_1	GCF0000378
XAAL001p01a_T4SS_typeT_1	GCF0000379
PALA001c01a_T5aSS_2	GCF0000380
PALA001c01a_T5aSS_3	GCF0000381
BRPN001c02a_T5aSS_1	GCF0000382
BRME001c01a_T5aSS_2	GCF0000383
OCAN001c02a_T5aSS_5	GCF0000384
BUYI001p03a_T4SS_typeF_1	GCF0000385
PSPU010c01a_T4SS_typeF_1	GCF0000386
MEPE001p01a_T4SS_typeF_1	GCF0000387
BOPT001c01a_T4SS_typeT_2	GCF0000388
PUT7001c01a_T4SS_typeT_1	GCF0000389
ACAV001c01a_T4SS_typeG_2	GCF0000390
AZSP001c01a_T4SS_typeG_1	GCF0000391
SIME003p01a_T5aSS_1	GCF0000392
LECH001c01a_T1SS_3	GCF0000393
CUNE001p02a_T4SS_typeT_1	GCF0000394
BUCC004c03a_T5cSS_3	GCF0000395
BOPT001c01a_T5aSS_2	GCF0000396
CUME001c02a_T5bSS_2	GCF0000397
BRJA002c01a_T5aSS_6	GCF0000398
DEAS001c01a_T1SS_1	GCF0000399
DEVU003c01a_T1SS_1	GCF0000400
DEVU002c01a_T1SS_1	GCF0000401
DHRE001c01a_T1SS_1	GCF0000402
DEDE002c01a_T1SS_1	GCF0000403
CEJA001c01a_T1SS_3	GCF0000404
BRSP001c01a_T5aSS_2	GCF0000405
LISE001c01a_Flagellum_1	GCF0000406
BAAN003c01a_Flagellum_1	GCF0000407
ENCA001c01a_Flagellum_1	GCF0000408
CA17001c01a_Flagellum_1	GCF0000409
ETHA001c01a_Flagellum_1	GCF0000410
CLSA001c01a_Flagellum_1	GCF0000411
ANMO001c01a_Flagellum_1	GCF0000412
THLI001c01a_Flagellum_1	GCF0000413
ACCA001c01a_Flagellum_1	GCF0000414
KOVE001c01a_Flagellum_1	GCF0000415
IGAL001c01a_Flagellum_1	GCF0000416
PEMA001c01a_Flagellum_1	GCF0000417
ACN9001c01a_Flagellum_1	GCF0000418
BLSA001c01a_Flagellum_1	GCF0000419
ACMI001c01a_Flagellum_1	GCF0000420
NOCA001c01a_Flagellum_1	GCF0000421
HAOR001c01a_Flagellum_1	GCF0000422
ASEX001c01a_T5aSS_1	GCF0000423
VAPA001c01a_Flagellum_1	GCF0000424
ADFE001c01a_Flagellum_1	GCF0000425
SYTH001c01a_Flagellum_1	GCF0000426
COWO001c01a_Flagellum_1	GCF0000427
MOTH001c01a_Flagellum_1	GCF0000428
HACH001c01a_Flagellum_1	GCF0000429
DEME001c01a_Flagellum_1	GCF0000430
BODU001c01a_Flagellum_1	GCF0000431
SPTR002c01a_Flagellum_1	GCF0000432
CLAD001c01a_Flagellum_1	GCF0000433
MAAU001c01a_Flagellum_1	GCF0000434
CLCA001c01a_Flagellum_1	GCF0000435
THMR001c01a_Flagellum_1	GCF0000436
CLSE001c01a_Flagellum_1	GCF0000437
BUPR001c01a_Flagellum_1	GCF0000438
CLLE001c01a_Flagellum_1	GCF0000439
THOC001c01a_Flagellum_1	GCF0000440
ALAC001c01a_Flagellum_1	GCF0000441
SERU001c01a_Flagellum_1	GCF0000442
EXSP001c01a_Flagellum_1	GCF0000443
LYSP001c01a_Flagellum_1	GCF0000444
HEMO001c01a_Flagellum_1	GCF0000445
THPH001c01a_Flagellum_1	GCF0000446
ALME001c01a_Flagellum_1	GCF0000447
CLST001c01a_Flagellum_1	GCF0000448
SYWO001c01a_Flagellum_1	GCF0000449
ACAR001c01a_Flagellum_1	GCF0000450
NATH001c01a_Flagellum_1	GCF0000451
CLPA001c01a_Flagellum_1	GCF0000452
AMDE001c01a_Flagellum_1	GCF0000453
PETH001c01a_Flagellum_1	GCF0000454
DEGI001c01a_Flagellum_1	GCF0000455
DECA001c01a_Flagellum_1	GCF0000456
DEAX001c01a_Flagellum_1	GCF0000457
CAHY001c01a_Flagellum_1	GCF0000458
DEAU001c01a_Flagellum_1	GCF0000459
DETO001c01a_Flagellum_1	GCF0000460
MEOX001c01a_Flagellum_1	GCF0000461
SAKE001c01a_Flagellum_1	GCF0000462
ACCE001c01a_Flagellum_1	GCF0000463
MOCU001c01a_Flagellum_1	GCF0000464
RHMA002c01a_Flagellum_1	GCF0000465
DEPR001c01a_Flagellum_1	GCF0000466
GELO001c01a_Flagellum_1	GCF0000467
LEFE001c01a_Flagellum_1	GCF0000468
NIDE001c01a_Flagellum_1	GCF0000469
BA1N001c01a_Flagellum_1	GCF0000470
OPTE001c01a_Flagellum_1	GCF0000471
COPR001c01a_Flagellum_1	GCF0000472
PLBR001c01a_Flagellum_1	GCF0000473
SPTH001c01a_Flagellum_1	GCF0000474
SUAI002c01a_Flagellum_1	GCF0000475
GEAU001c01a_Flagellum_1	GCF0000476
COBA001c01a_T1SS_3	GCF0000477
RHCE001c01a_T1SS_1	GCF0000478
PAAM001c01a_T5cSS_1	GCF0000479
SPSY001c01a_T1SS_1	GCF0000480
BOBR003c01a_T5aSS_2	GCF0000481
PUT7001c01a_T5aSS_3	GCF0000482
BOBR003c01a_T5aSS_14	GCF0000483
SEPR001c01a_T5aSS_2	GCF0000484
ZYMO003c01a_Flagellum_1	GCF0000485
SPJA001c01a_Flagellum_1	GCF0000486
SPAL001c01a_Flagellum_1	GCF0000487
OCAT001c01a_Flagellum_1	GCF0000488
RHSP002c01a_Flagellum_1	GCF0000489
PUMA001c01a_Flagellum_1	GCF0000490
PSIN001c01a_Flagellum_1	GCF0000491
VIFU001c01a_Flagellum_1	GCF0000492
PSBR001c01a_Flagellum_1	GCF0000493
PSME001c01a_T5bSS_1	GCF0000494
YEPS002c01a_T5aSS_3	GCF0000495
YEPE007c01a_T5cSS_3	GCF0000496
MESI001c01a_T1SS_1	GCF0000497
RAEU001c01a_T5bSS_1	GCF0000498
RAEU002c02a_T5bSS_2	GCF0000499
YEEN002c01a_Flagellum_2	GCF0000500
PSRE001c01a_Flagellum_1	GCF0000501
BUCC004c03a_Flagellum_1	GCF0000502
STML001c01a_Flagellum_1	GCF0000503
PSSA001c01a_T4SS_typeG_1	GCF0000504
DECS001c01a_Flagellum_1	GCF0000505
SOGL001c01a_Flagellum_1	GCF0000506
ACXY001c01a_Flagellum_1	GCF0000507
PHAB001c01a_Flagellum_1	GCF0000508
SILI001c01a_Flagellum_1	GCF0000509
THSP001c01a_Flagellum_1	GCF0000510
NIMU001c01a_Flagellum_1	GCF0000511
OCGK001c01a_Flagellum_1	GCF0000512
SHPI001c01a_Flagellum_2	GCF0000513
FRAU001c01a_Flagellum_1	GCF0000514
PSDE001c01a_Flagellum_1	GCF0000515
ACCD001c01a_Flagellum_1	GCF0000516
PRST001c01a_T5cSS_1	GCF0000517
HAHA001c01a_Flagellum_1	GCF0000518
PSEN001c01a_T5aSS_7	GCF0000519
BUXE001c03a_T5aSS_1	GCF0000520
MERA001p04a_T4SS_typeT_1	GCF0000521
MAMR001c01a_T1SS_1	GCF0000522
BOPA002c01a_pT4SSt_1	GCF0000523
PHGA002c01a_Flagellum_1	GCF0000524
KEVU001c01a_Flagellum_1	GCF0000525
RHSP004c01a_Flagellum_2	GCF0000526
